law,rho,n,mean,ci_low,ci_high,predicted_rate,predicted_cycle_length,completed_cycle_mean,right_censored_cycles
balanced,0.0,32,0.475433349609375,0.47202692769342164,0.47883977152532836,0.47619047619047616,2.1,2.1032202138247666,22
balanced,0.1,32,0.475433349609375,0.47202692769342164,0.47883977152532836,0.47619047619047616,2.1,2.1032202138247666,22
balanced,1.0,32,0.475433349609375,0.47202692769342164,0.47883977152532836,0.47619047619047616,2.1,2.1032202138247666,22
directional,0.0,32,0.24750518798828125,0.24552963673380035,0.24948073924276215,0.24615384615384606,4.062500000000002,4.039421326999599,22
directional,0.1,32,0.24750518798828125,0.24552963673380035,0.24948073924276215,0.24615384615384606,4.062500000000002,4.039421326999599,22
directional,1.0,32,0.24750518798828125,0.24552963673380035,0.24948073924276215,0.24615384615384606,4.062500000000002,4.039421326999599,22
