capacity,horizon,method,rho,feedback,n,mean,ci_low,ci_high,hedge_fraction_mean
2,1024,certainty_equivalent,0.1,actual,16,0.0513594584488587,0.03697012957033818,0.06574878732737921,0.1014404296875
2,1024,certainty_equivalent,0.1,reveal,16,0.0509932475113587,0.036572588236913776,0.06541390678580361,0.1015625
2,1024,certainty_equivalent,1.0,actual,16,0.06712646484377538,0.05748766791271044,0.07676526177484032,0.470458984375
2,1024,certainty_equivalent,1.0,reveal,16,0.06505126953127538,0.055579675052468955,0.0745228640100818,0.46942138671875
2,1024,posterior_sampling,0.1,actual,16,0.0324995951676087,0.009756736328370187,0.05524245400684721,0.09393310546875
2,1024,posterior_sampling,0.1,reveal,16,0.013090415480108697,0.0019151008766045158,0.02426573008361288,0.093017578125
2,1024,posterior_sampling,1.0,actual,16,0.01903076171877538,0.010452817115481183,0.027608706322069576,0.4559326171875
2,1024,posterior_sampling,1.0,reveal,16,0.01011962890627538,-0.00039134535726150985,0.02063060316981227,0.4490966796875
2,4096,certainty_equivalent,0.1,actual,16,0.027031804310026275,0.018859997976473246,0.035203610643579304,0.09735107421875
2,4096,certainty_equivalent,0.1,reveal,16,0.024361516224088775,0.015771581696494244,0.032951450751683306,0.0973663330078125
2,4096,certainty_equivalent,1.0,actual,16,0.03040466308611578,0.025195463727468934,0.035613862444762626,0.4626617431640625
2,4096,certainty_equivalent,1.0,reveal,16,0.02988586425799078,0.024744357405640502,0.03502737111034106,0.46240234375
2,4096,posterior_sampling,0.1,actual,16,0.008797551380338775,-0.0006557959694005449,0.018250898730078097,0.09307861328125
2,4096,posterior_sampling,0.1,reveal,16,0.003960515247526275,-0.004184599888631239,0.012105630383683789,0.0928497314453125
2,4096,posterior_sampling,1.0,actual,16,0.0021759033204907796,-0.0021121070359761502,0.0064639136769577095,0.453643798828125
2,4096,posterior_sampling,1.0,reveal,16,-3.662109357172039e-05,-0.004245397520404303,0.004172155333260862,0.451934814453125
8,1024,certainty_equivalent,0.1,actual,16,0.05404948645023888,0.03442466904592567,0.07367430385455209,0.10986328125
8,1024,certainty_equivalent,0.1,reveal,16,0.05404948645023888,0.03443663119104162,0.07366234170943614,0.10980224609375
8,1024,certainty_equivalent,1.0,actual,16,0.07198801997162974,0.05646208054855101,0.08751395939470846,0.4212646484375
8,1024,certainty_equivalent,1.0,reveal,16,0.059353742627879735,0.04838550190552995,0.07032198335022953,0.41387939453125
8,1024,posterior_sampling,0.1,actual,16,0.05118083410648888,0.007376035912355354,0.0949856323006224,0.10150146484375
8,1024,posterior_sampling,0.1,reveal,16,0.006930345825238882,-0.011368754149085298,0.02522944579956306,0.1015625
8,1024,posterior_sampling,1.0,actual,16,0.030850324659129735,0.00990723370434841,0.051793415613911056,0.4197998046875
8,1024,posterior_sampling,1.0,reveal,16,0.006070051221629735,-0.0034949516425472303,0.0156350540858067,0.402587890625
8,4096,certainty_equivalent,0.1,actual,16,0.02887811906701243,0.01826698740588168,0.03948925072814318,0.1051483154296875
8,4096,certainty_equivalent,0.1,reveal,16,0.02889337785607493,0.018275712212507983,0.03951104349964188,0.105133056640625
8,4096,certainty_equivalent,1.0,actual,16,0.032523461500383655,0.026195302232055722,0.03885162076871159,0.41253662109375
8,4096,certainty_equivalent,1.0,reveal,16,0.029364892164446155,0.022727856887496078,0.03600192744139623,0.4106903076171875
8,4096,posterior_sampling,0.1,actual,16,0.02646723039513743,0.0070480569565533405,0.04588640383372152,0.1009521484375
8,4096,posterior_sampling,0.1,reveal,16,0.003426458910762431,-0.006847841821684117,0.013700759643208979,0.1009674072265625
8,4096,posterior_sampling,1.0,actual,16,0.010611840406633655,0.0005504873373996435,0.020673193475867664,0.4102935791015625
8,4096,posterior_sampling,1.0,reveal,16,0.0009682857191336547,-0.004315057044184658,0.006251628482451968,0.403839111328125
