capacity,lambda,horizon,eligible_value,suspended_value,value_gap,truncated_wait,proved_gap_lower_bound,old_inventory_depth_span_bound
2,0.0,64,82.48000000000005,50.09070294784572,32.389297052154326,64.0,0.8000000000000007,8
2,0.0,256,328.2400000000003,196.37641723355958,131.86358276644071,256.0,39.2,8
2,0.0,1024,1311.2799999999959,781.5192743764127,529.7607256235832,1024.0,192.8,8
2,0.0,4096,5243.440000000124,3122.0907029483737,2121.3492970517505,4096.0,807.2,8
2,0.001,64,82.48000000000005,51.10267464843465,31.377325351565396,62.025036174154444,0.4050072348308902,8
2,0.001,256,328.2400000000003,211.90018477719718,116.33981522280311,225.9571811394917,33.19143622789834,8
2,0.001,1024,1311.2799999999959,979.8176742711365,331.46232572885935,641.0285218102896,116.20570436205793,8
2,0.001,4096,5243.440000000124,4734.536541304438,508.9034586956859,983.3949658302743,184.67899316605485,8
2,0.01,64,82.48000000000005,58.583149192192295,23.896850807807752,47.440351247443765,-2.5119297505112463,8
2,0.01,256,328.2400000000003,280.98254544345303,47.25745455654726,92.3685016093406,6.473700321868119,8
2,0.01,1024,1311.2799999999959,1260.056275469413,51.223724530582786,99.9966081294598,7.999321625891962,8
2,0.01,4096,5243.440000000124,5192.214511850409,51.2254881497156,100.0,8.0,8
2,0.1,64,82.48000000000005,77.8738657292865,4.6061342707135395,9.98820981542226,-10.002358036915547,8
2,0.1,256,328.2400000000003,323.62750000001074,4.612499999989552,9.999999999980677,-10.000000000003865,8
2,0.1,1024,1311.2799999999959,1306.6674999999977,4.6124999999981355,10.0,-10.0,8
2,0.1,4096,5243.440000000124,5238.827500000125,4.612499999999272,10.0,-10.0,8
2,1.0,64,82.48000000000005,82.48000000000005,0.0,1.0,-11.8,8
2,1.0,256,328.2400000000003,328.2400000000003,0.0,1.0,-11.8,8
2,1.0,1024,1311.2799999999959,1311.2799999999959,0.0,1.0,-11.8,8
2,1.0,4096,5243.440000000124,5243.440000000124,0.0,1.0,-11.8,8
8,0.0,64,89.86532998797213,52.53288218050233,37.332447807469805,64.0,-35.2,20
8,0.0,256,358.6600564695577,206.13112436192628,152.5289321076314,256.0,3.200000000000003,20
8,0.0,1024,1433.8389623976873,820.5240930850974,613.3148693125898,1024.0,156.8,20
8,0.0,4096,5734.5545861103,3278.095967977853,2456.458618132447,4096.0,771.2,20
8,0.001,64,89.86532998797213,53.693669986762195,36.171660001209936,62.025036174154444,-35.59499276516911,20
8,0.001,256,358.6600564695577,224.06643339735984,134.59362307219783,225.9571811394917,-2.8085637721016568,20
8,0.001,1024,1433.8389623976873,1050.0438409103901,383.79512148729714,641.0285218102896,80.20570436205793,20
8,0.001,4096,5734.5545861103,5145.208701424021,589.3458846862795,983.3949658302743,148.67899316605485,20
8,0.01,64,89.86532998797213,62.28134241124005,27.583987576732085,47.440351247443765,-38.51192975051124,20
8,0.01,256,358.6600564695577,303.93603717297333,54.724019296584345,92.3685016093406,-29.52629967813188,20
8,0.01,1024,1433.8389623976873,1374.5069845882983,59.331977809388945,99.9966081294598,-28.000678374108038,20
8,0.01,4096,5734.5545861103,5675.220559352214,59.33402675808611,100.0,-28.0,20
8,0.1,64,89.86532998797213,84.51787939109673,5.3474505968754045,9.98820981542226,-46.002358036915545,20
8,0.1,256,358.6600564695577,353.30490646687406,5.355150002683615,9.999999999980677,-46.000000000003865,20
8,0.1,1024,1433.8389623976873,1428.4838123949926,5.3551500026947,10.0,-46.0,20
8,0.1,4096,5734.5545861103,5729.199436107606,5.355150002694245,10.0,-46.0,20
8,1.0,64,89.86532998797213,89.86532998797213,0.0,1.0,-47.8,20
8,1.0,256,358.6600564695577,358.6600564695577,0.0,1.0,-47.8,20
8,1.0,1024,1433.8389623976873,1433.8389623976873,0.0,1.0,-47.8,20
8,1.0,4096,5734.5545861103,5734.5545861103,0.0,1.0,-47.8,20
