capacity,buy_probability,buyer_high_probability,seller_low_probability,rho,max_adjacent_value_difference,max_span,span_bound,horizon,adjacent_pairs
8,0.5,0.55,0.55,0.1,1.0794637615163083,2.0699815283378484,20,4096,68
8,0.5,0.55,0.55,1.0,1.0465196599370756,1.9785069075478532,20,4096,68
8,0.5,1.0,1.0,0.0,1.5711761265993118,4.66666666666606,20,4096,68
8,0.5,1.0,1.0,0.001,1.570788005339466,4.612973580100515,20,4096,68
8,0.5,1.0,1.0,0.1,1.5322575908523675,3.6037787803277297,20,4096,68
8,0.5,1.0,1.0,1.0,1.3603515625,2.646728515625,20,4096,68
8,0.8,0.0,0.0,0.0,0.9999771117291516,7.333401998147792,20,4096,68
8,0.8,0.0,0.0,0.001,0.9999771117295495,7.333401998206,20,4096,68
8,0.8,0.0,0.0,0.1,0.9999771117295495,7.3334019981509755,20,4096,68
8,0.8,0.0,0.0,1.0,0.9999771117291516,7.333401998147792,20,4096,68
8,0.8,0.55,0.55,0.0,1.9970155915893884,14.519398654677389,20,4096,68
8,0.8,0.55,0.55,0.001,1.9970028424422708,14.489708751063972,20,4096,68
8,0.8,0.55,0.55,0.1,1.9782753530639638,12.679737802016462,20,4096,68
8,0.8,0.55,0.55,1.0,1.43917985264261,6.848394866260151,20,4096,68
8,0.8,1.0,1.0,0.0,1.9999542234583032,15.666758219755138,20,4096,68
8,0.8,1.0,1.0,0.001,1.999953775249196,15.656394443129557,20,4096,68
8,0.8,1.0,1.0,0.1,1.9997047995047978,15.103921461152822,20,4096,68
8,0.8,1.0,1.0,1.0,1.79997253376132,7.800338750289484,20,4096,68
8,0.95,0.0,0.0,0.0,0.9999999998884732,7.888888888944734,20,4096,68
8,0.95,0.0,0.0,0.001,0.9999999998885301,7.888888888950021,20,4096,68
8,0.95,0.0,0.0,0.1,0.9999999998885301,7.888888888944962,20,4096,68
8,0.95,0.0,0.0,1.0,0.9999999998884732,7.888888888944734,20,4096,68
8,0.95,0.55,0.55,0.0,1.9999999809234623,16.682539681634694,20,4096,68
8,0.95,0.55,0.55,0.001,1.9999999791737082,16.674042177285855,20,4096,68
8,0.95,0.55,0.55,0.1,1.9999917246015002,16.202743124723725,20,4096,68
8,0.95,0.55,0.55,1.0,1.5224999933550407,8.310859894225814,20,4096,68
8,0.95,1.0,1.0,0.0,1.9999999997769464,16.77777777766653,20,4096,68
8,0.95,1.0,1.0,0.001,1.999999999758188,16.77392193962237,20,4096,68
8,0.95,1.0,1.0,0.1,1.9999999787939942,16.546238682780768,20,4096,68
8,0.95,1.0,1.0,1.0,1.9499999998411113,8.78333333458977,20,4096,68
