architecture,case,horizon,cell,mse,rmse,skill,ci95_low,ci95_high
fno,ood_r1024,31,A01,0.0030503462898345875,0.05522994015780379,0.9948437123854386,0.9940351778190197,0.9955264151603007
fno,ood_r1024,31,A10,1017.1810571344151,31.893276048948234,-1718.4369387329934,-4175.526639887697,-334.9710308585286
fno,ood_r1024,31,A11,0.0031210034515329016,0.055865941785070636,0.994724273930546,0.9934318302042163,0.9956796309855094
fno,ood_r1024,31,R00,0.003920083020326766,0.06261056636324867,0.9933735144782989,0.9922889322595438,0.9942966954013742
fno,ood_r1024,31,R01,0.00259115594812452,0.050903398198200084,0.9956199250664631,0.9950047363140258,0.9961502967388894
fno,ood_r1024,31,R10,591.7392705936758,24.325691574828365,-999.2726189416566,-1320.819584521345,-748.1516254468464
fno,ood_r1024,31,R11,0.002188366307033118,0.0467799776296774,0.996300798331428,0.9957675507942697,0.9967643583612267
unet,id_r256,1,A00,0.0001860882280998735,0.0136414159125757,0.9953671323969798,0.9927682420375576,0.9970252830584844
unet,id_r256,1,A01,8.600590003988445e-05,0.009273936598871293,0.9978587901446967,0.9971600962195863,0.998391300862204
unet,id_r256,1,A10,0.47497012710151326,0.6891807651853854,-10.824894764810045,-14.091830518715955,-8.20683689554681
unet,id_r256,1,A11,4.168213920506412e-05,0.006456170630107612,0.9989622780854033,0.998729663046299,0.9991575437187362
unet,id_r256,1,R00,2.9938782922648727e-05,0.0054716343922678835,0.9992546416348177,0.9989732862967546,0.999487279223804
unet,id_r256,1,R01,2.820807800953574e-05,0.005311127753079918,0.9992977294045505,0.9990219867676914,0.9995230966532903
unet,id_r256,1,R10,0.09562265483340399,0.30922912998843427,-1.380629361760032,-2.4145996369694482,-0.5453659714229558
unet,id_r256,1,R11,3.276275071242884e-05,0.00572387549763522,0.999184335903935,0.998805989228992,0.9994807309876449
unet,id_r256,4,A00,0.0021743591720908284,0.046630024362966274,0.9948455793403217,0.9921488917734113,0.9966416641209008
unet,id_r256,4,A01,0.0013645672564690482,0.03694004949196804,0.9967652291541598,0.9955643693810021,0.9976957049130694
unet,id_r256,4,A10,0.692464626638298,0.8321445947900509,-0.641519958364899,-1.0233078701784857,-0.3212145188024041
unet,id_r256,4,A11,0.0006143328708867533,0.02478573926447935,0.9985436950425383,0.9981705678643487,0.9988588793798495
unet,id_r256,4,R00,0.0011059565484319825,0.03325592501242421,0.9973782779978974,0.9961884191882077,0.9983391066173929
unet,id_r256,4,R01,0.001079074695631214,0.032849272375978344,0.9974420026939941,0.9962615187815845,0.9983955062616622
unet,id_r256,4,R10,1.7596677935450868,1.3265247052147529,-3.1713752473091734,-4.8185815037151345,-1.7618478722794375
unet,id_r256,4,R11,0.0014081286549594686,0.037525040372522835,0.9966619648107038,0.9946990591772508,0.9981579273261725
unet,id_r256,16,A00,0.024103588947017904,0.15525330575230242,0.9540262612026846,0.9289736552338573,0.9715209620886213
unet,id_r256,16,A01,0.017133326118529673,0.13089433188083308,0.9673209221484025,0.9530767158630304,0.9783290159736798
unet,id_r256,16,A10,0.5930372619851418,0.7700891260011025,-0.1311236778684408,-0.4348988736692416,0.1086894251039696
unet,id_r256,16,A11,0.007436573620065994,0.08623557050351087,0.9858159258396157,0.9814578846536005,0.9894363963667642
unet,id_r256,16,R00,0.0346088878158186,0.18603464144029358,0.9339890846957508,0.9027461276644645,0.96020838145499
