method,rho,feedback,n,mean,ci_low,ci_high,wealth_mean,oracle_value,informative_buy_mean,informative_sell_mean
certainty_equivalent,0.1,actual,8,0.054098573022952956,0.025944955580613736,0.08225219046529217,749.5,804.8969387755038,254.125,235.75
certainty_equivalent,0.1,reveal,8,0.045431580835452956,0.01998189107552779,0.07088127059537812,758.375,804.8969387755038,514.875,509.125
certainty_equivalent,1.0,actual,8,0.058004823022952956,0.03569295364674264,0.08031669239916328,745.5,804.8969387755038,260.75,254.25
certainty_equivalent,1.0,reveal,8,0.056051698022952956,0.03203392126748629,0.08006947477841962,747.5,804.8969387755038,514.875,509.125
posterior_sampling,0.1,actual,8,0.022726502710452956,-0.0002453769299611448,0.04569838235086705,781.625,804.8969387755038,257.75,254.25
posterior_sampling,0.1,reveal,8,0.011251893335452956,-0.011204346198752404,0.03370813286965832,793.375,804.8969387755038,514.875,509.125
posterior_sampling,1.0,actual,8,0.030050721460452956,0.011126735430397244,0.04897470749050867,774.125,804.8969387755038,237.375,288.25
posterior_sampling,1.0,reveal,8,0.013815369897952956,-0.009085154227108792,0.0367158940230147,790.75,804.8969387755038,514.875,509.125
