seed,score,T_eff,gamma_eff,noise_per_step,T_ratio,gamma_ratio,iter_idx
35,4,0.05223752741686278,0.9861198413131039,0.03254928517274686,1.0447505483372554,0.9861198413131039,200
36,3,0.0526966972817104,0.9732115561863992,0.03290811965486061,1.0539339456342078,0.9732115561863992,200
37,4,0.05176797755554355,0.9780876686702837,0.03253544156889686,1.0353595511108709,0.9780876686702837,200
38,1,0.05022327365846706,0.978089166215897,0.03204632865649257,1.004465473169341,0.978089166215897,200
39,7,0.05319703928218644,0.9751584887703808,0.03303095467272824,1.0639407856437288,0.9751584887703808,200
40,3,0.050555814532568084,0.9773111923495252,0.032165041612493735,1.0111162906513615,0.9773111923495252,200
41,6,0.050396887059040156,0.9768742995827734,0.032121625291751874,1.007937741180803,0.9768742995827734,200
42,5,0.05140739566854933,0.9758441312478275,0.03245918206710887,1.0281479133709865,0.9758441312478275,200
43,5,0.05271886461250479,0.9773490097373977,0.03284529625406097,1.0543772922500956,0.9773490097373977,200
44,7,0.052747932513732464,0.9651111561109017,0.033061994617920205,1.0549586502746493,0.9651111561109017,200
45,4,0.05182268348360008,0.9640666702736733,0.032788489679359385,1.0364536696720015,0.9640666702736733,200
46,7,0.05268863189336489,0.9692058081758351,0.03297353087004756,1.0537726378672978,0.9692058081758351,200
47,5,0.05106009792594874,0.9913364935891791,0.03209558327494664,1.0212019585189747,0.9913364935891791,200
48,4,0.05015896572077044,0.9861991259247622,0.03189385221808066,1.0031793144154089,0.9861991259247622,200
49,3,0.050054769186507836,0.9902985648554976,0.03179469436306895,1.0010953837301566,0.9902985648554976,200
50,4,0.05166717631233596,0.9716693986207765,0.03261092358561978,1.033343526246719,0.9716693986207765,200
51,10,0.05175912877693098,0.9759412404667258,0.03256841635277165,1.0351825755386195,0.9759412404667258,200
52,5,0.05292938987300656,0.985350586553374,0.032776913275246226,1.0585877974601312,0.985350586553374,200
53,4,0.05290025981293539,1.002984183639332,0.03247856690707485,1.0580051962587078,1.002984183639332,200
54,5,0.05239591298111686,0.972638599320014,0.03282373166619517,1.047918259622337,0.972638599320014,200
55,6,0.050280806510193246,0.9802127522991755,0.03202992644285679,1.0056161302038649,0.9802127522991755,200
56,7,0.053932834511940295,0.9686603283330368,0.03336997367090849,1.0786566902388057,0.9686603283330368,200
57,7,0.05208934385229182,0.9782373616975913,0.03263377526253178,1.0417868770458363,0.9782373616975913,200
58,4,0.04988418967874409,0.9826665159491641,0.03186349276038521,0.9976837935748818,0.9826665159491641,200
59,7,0.05232877320236792,0.9715673288255606,0.03282077435486168,1.0465754640473584,0.9715673288255606,200
60,8,0.051976601554422235,1.0139103078376082,0.03201984083180026,1.0395320310884446,1.0139103078376082,200
61,7,0.050512633435599724,0.9828048898504909,0.03206131631680075,1.0102526687119944,0.9828048898504909,200
62,3,0.05021545513961713,1.0007395089658107,0.031679124925265326,1.0043091027923425,1.0007395089658107,200
63,3,0.050476697420961385,0.9765369258431913,0.03215260232086889,1.0095339484192276,0.9765369258431913,200
64,4,0.050481102270331334,0.9790795475216186,0.03211222685801171,1.0096220454066267,0.9790795475216186,200
65,3,0.0522793037063369,0.9737922201280068,0.032767759308355675,1.045586074126738,0.9737922201280068,200
66,3,0.05014513126343559,0.9780467238924203,0.03202208328542104,1.0029026252687117,0.9780467238924203,200
67,3,0.053626439284691144,0.9681191551202283,0.033284349372697315,1.0725287856938228,0.9681191551202283,200
68,3,0.05075275265676967,0.9805232969040538,0.0321747988422449,1.0150550531353935,0.9805232969040538,200
69,6,0.051960989743255206,0.9789394680880866,0.0325818534591362,1.039219794865104,0.9789394680880866,200
70,10,0.052686722511752604,0.9783592228317081,0.03281832547054008,1.053734450235052,0.9783592228317081,200
71,6,0.05010213370803082,0.9974388630014269,0.03169567214031228,1.0020426741606163,0.9974388630014269,200
72,5,0.050339881488002766,0.9825359211903879,0.0320108254839268,1.0067976297600552,0.9825359211903879,200
73,5,0.050529653273667006,0.970106007839993,0.0322759147606995,1.0105930654733402,0.970106007839993,200
74,6,0.05113752027533281,0.9823678193077648,0.03226619592221831,1.022750405506656,0.9823678193077648,200
75,4,0.051830109665461956,0.9910886077912735,0.03234073007515919,1.036602193309239,0.9910886077912735,200
76,5,0.05022221994330518,0.9893519934518409,0.03186306386774904,1.0044443988661036,0.9893519934518409,200
77,4,0.05256252290714649,0.9758994857539333,0.03282090518071857,1.0512504581429298,0.9758994857539333,200
78,5,0.05068978497183401,1.005952524066189,0.03174581492007333,1.0137956994366801,1.005952524066189,200
79,2,0.05059654747185688,0.968208262024821,0.032328908887213466,1.0119309494371376,0.968208262024821,200
80,7,0.05044653573764087,0.9805599929557253,0.03207698837297511,1.0089307147528175,0.9805599929557253,200
81,4,0.05020166494682086,0.980744626417801,0.031996029579697195,1.0040332989364171,0.980744626417801,200
82,5,0.05245849857056052,0.9739851236595717,0.03282061874001797,1.0491699714112104,0.9739851236595717,200
83,7,0.05052732821599068,0.9796015374848678,0.03211836549497692,1.0105465643198135,0.9796015374848678,200
84,3,0.05197326816288166,0.9790171833755232,0.032584409422325274,1.0394653632576332,0.9790171833755232,200
