regime,lambda,c,alpha,horizon,regret,regret_per_round,fixed_lambda_regret_limit,normalized_limit
lambda_c_over_T,0.015625,1.0,0.05,64,0.8327460075077511,0.01301165636730861,,0.013013653220134147
lambda_c_over_T,0.00390625,1.0,0.05,256,3.331382394365505,0.013013212477990255,,0.013013653220134147
lambda_c_over_T,0.0009765625,1.0,0.05,1024,13.325871768326238,0.013013546648756091,,0.013013653220134147
lambda_c_over_T,0.000244140625,1.0,0.05,4096,53.303815383246274,0.01301362680255036,,0.013013653220134147
lambda_c_over_T,6.103515625e-05,1.0,0.05,16384,213.21558638276292,0.013013646629807307,,0.013013653220134147
lambda_c_over_T,0.0625,1.0,0.5,16,1.8117559931110012,0.11323474956943758,,0.11420733226084423
lambda_c_over_T,0.015625,1.0,0.5,64,7.293015966825756,0.11395337448165244,,0.11420733226084423
lambda_c_over_T,0.00390625,1.0,0.5,256,29.220683246584855,0.11414329393197209,,0.11420733226084423
lambda_c_over_T,0.0009765625,1.0,0.5,1024,116.93188113302745,0.11419129016897211,,0.11420733226084423
lambda_c_over_T,0.000244140625,1.0,0.5,4096,467.7767976280411,0.11420331973340847,,0.11420733226084423
lambda_c_over_T,6.103515625e-05,1.0,0.5,16384,1871.1564944036909,0.11420632900413152,,0.11420733226084423
lambda_c_over_T,0.25,4.0,0.05,16,0.17823953869141596,0.011139971168213497,,0.010896227616025433
lambda_c_over_T,0.0625,4.0,0.05,64,0.701348536128755,0.010958570877011797,,0.010896227616025433
lambda_c_over_T,0.015625,4.0,0.05,256,2.793436106156527,0.010911859789673933,,0.010896227616025433
lambda_c_over_T,0.00390625,4.0,0.05,1024,11.161741350860922,0.010900138037950119,,0.010896227616025433
lambda_c_over_T,0.0009765625,4.0,0.05,4096,44.63495316472074,0.01089720536248065,,0.010896227616025433
lambda_c_over_T,0.000244140625,4.0,0.05,16384,178.5277982528578,0.010896472061331652,,0.010896227616025433
lambda_c_over_T,0.25,4.0,0.5,16,1.1659503130451014,0.07287189456531884,,0.0791675489739275
lambda_c_over_T,0.0625,4.0,0.5,64,4.978686104782348,0.07779197038722419,,0.0791675489739275
lambda_c_over_T,0.015625,4.0,0.5,256,20.18163773805729,0.07883452241428629,,0.0791675489739275
lambda_c_over_T,0.00390625,4.0,0.5,1024,80.98298954917132,0.07908495073161262,,0.0791675489739275
lambda_c_over_T,0.0009765625,4.0,0.5,4096,324.1858672543144,0.07914694024763536,,0.0791675489739275
lambda_c_over_T,0.000244140625,4.0,0.5,16384,1296.9967507801016,0.07916239933960581,,0.0791675489739275
