CFD_Id,BMU_Id,Effective_From,Effective_date_to
"AR2-MRY-207","T_MOWEO-1",2021-12-01 00:00:00.0000000,
"AR2-MRY-207","T_MOWEO-2",2021-12-01 00:00:00.0000000,
"AR2-MRY-207","T_MOWEO-3",2021-12-01 00:00:00.0000000,
"AR2-MRY-307","T_MOWEO-1",2021-12-01 00:00:00.0000000,
"AR2-MRY-307","T_MOWEO-2",2021-12-01 00:00:00.0000000,
"AR2-MRY-307","T_MOWEO-3",2021-12-01 00:00:00.0000000,
"AR2-TKN-103","T_TKNEW-1",2020-10-07 00:00:00.0000000,
"AR2-TKN-103","T_TKNWW-1",2020-12-09 00:00:00.0000000,
"AR2-TKN-203","T_TKNEW-1",2020-10-07 00:00:00.0000000,
"AR2-TKN-203","T_TKNWW-1",2020-12-09 00:00:00.0000000,
"AR2-TKN-303","T_TKNEW-1",2020-10-07 00:00:00.0000000,
"AR2-TKN-303","T_TKNWW-1",2020-12-09 00:00:00.0000000,
"AR3-SOW-101","T_SOFOW-11",2025-12-03 00:00:00.0000000,
"AR3-SOW-101","T_SOFOW-21",2025-12-03 00:00:00.0000000,
"AR3-SOW-102","T_SOFOW-11",2025-12-03 00:00:00.0000000,
"AR3-SOW-102","T_SOFOW-12",2025-12-03 00:00:00.0000000,
"AR3-SOW-103","T_SOFOW-12",2025-12-03 00:00:00.0000000,
"AR3-SOW-103","T_SOFOW-21",2025-12-03 00:00:00.0000000,
"AR3-SOW-103","T_SOFOW-22",2025-12-03 00:00:00.0000000,
"AR4-ADS-700","C__BSMAE030",2025-06-27 00:00:00.0000000,
"AR4-ASF-700","C__BSTAT015",2024-05-22 00:00:00.0000000,
"AR4-BCW-610","T_BROCW-1",2024-12-01 00:00:00.0000000,
"AR4-BFS-700","C__ASMAE053",2026-02-09 00:00:00.0000000,
"AR4-BHL-700","C__HGMTR021",2025-07-25 00:00:00.0000000,
"AR4-BRN-700","C__ASMAE046",2025-12-17 00:00:00.0000000,
"AR4-BSL-700","C__ASMAE031",2025-06-27 00:00:00.0000000,
"AR4-BSP-700","C__ESTAT019",2024-12-18 00:00:00.0000000,
"AR4-CCP-700","C__HLOND040",2025-12-01 00:00:00.0000000,
"AR4-CHS-700","C__FENDC067",2026-04-27 00:00:00.0000000,
"AR4-CLF-700","C__HSMAE048",2025-11-07 00:00:00.0000000,
"AR4-CLH-710","T_CLVHS-1",2024-12-01 00:00:00.0000000,
"AR4-CNS-700","C__KFSEN024",2025-02-19 00:00:00.0000000,
"AR4-CWS-610","T_CUMHW-2",2026-07-01 00:00:00.0000000,
"AR4-DRF-700","C__MLOND039",2025-06-27 00:00:00.0000000,
"AR4-DVR-700","C__EEDGE027",2025-12-01 00:00:00.0000000,
"AR4-EST-700","C__BGMTR028",2026-03-25 00:00:00.0000000,
"AR4-HFS-700","C__LVETS036",2025-09-01 00:00:00.0000000,
"AR4-HHR-610","T_HAGHW-2",2025-07-16 00:00:00.0000000,
"AR4-HHR-610","T_HAHAW-1",2025-07-16 00:00:00.0000000,
"AR4-IGS-700","C__BLOND051",2025-09-01 00:00:00.0000000,
"AR4-KWE-610","T_KLGLW-2",2027-03-31 00:00:00.0000000,
"AR4-LFS-700","C__BSTAT017",2024-08-21 00:00:00.0000000,
"AR4-LSF-700","C__LSTAT020",2024-12-18 00:00:00.0000000,
"AR4-LYR-700","C__ASMAE033",2025-06-27 00:00:00.0000000,
"AR4-MFS-700","C__BFSEN025",2025-02-19 00:00:00.0000000,
"AR4-NEL-700","C__BLOND018",2024-11-20 00:00:00.0000000,
"AR4-NEX-700","C__ALOND079",2026-05-14 00:00:00.0000000,
"AR4-NEX-700","C__ATGPL079",2026-05-14 00:00:00.0000000,
"AR4-NXP-700","C__BLOND078",2026-05-14 00:00:00.0000000,
"AR4-NXP-700","C__BTGPL078",2026-05-14 00:00:00.0000000,
"AR4-NXT-700","C__HLOND052",2025-08-20 00:00:00.0000000,
"AR4-NXT-700","C__HTGPL052",2025-08-20 00:00:00.0000000,
"AR4-OSF-700","C__AMRCY042",2026-04-01 00:00:00.0000000,
"AR4-RLS-700","C__EENDC061",2026-03-23 00:00:00.0000000,
"AR4-RSF-700","C__HMRCY022",2025-06-20 00:00:00.0000000,
"AR4-SCL-700","C__ASMAE032",2025-06-27 00:00:00.0000000,
"AR4-SDS-700","C__MSTAT041",2025-06-24 00:00:00.0000000,
"AR4-SFH-700","C__ALOND047",2025-09-01 00:00:00.0000000,
"AR4-SID-700","C__HSTAT016",2024-06-19 00:00:00.0000000,
"AR4-SSF-700","C__HFSEN026",2025-02-19 00:00:00.0000000,
"AR4-STV-700","C__BSMAE034",2025-06-27 00:00:00.0000000,
"AR4-TBS-700","C__FENDC068",2026-04-27 00:00:00.0000000,
"AR4-TSF-700","C__KVETS037",2025-09-01 00:00:00.0000000,
"AR4-YSF-700","C__BEXGL023",2025-02-19 00:00:00.0000000,
"AR5-ALS-700","C__LFSEN043",2025-06-18 00:00:00.0000000,
"AR5-BBL-700","C__FGMTR062",2026-03-23 00:00:00.0000000,
"AR5-BWI-610","T_BENBW-1",2025-12-01 00:00:00.0000000,
"AR5-GAS-700","C__LCGLS069",2026-05-14 00:00:00.0000000,
"AR5-GOS-700","C__BCGLS070",2026-05-14 00:00:00.0000000,
"AR5-GRG-700","C__MGMTR063",2026-03-23 00:00:00.0000000,
"AR5-KEK-700","C__HGMTR064",2026-03-23 00:00:00.0000000,
"AR5-LAG-700","C__JSMAE059",2026-03-23 00:00:00.0000000,
"AR5-LAS-700","C__GCGLS071",2026-05-14 00:00:00.0000000,
"AR5-PRS-700","C__HFSEN045",2026-03-01 00:00:00.0000000,
"AR5-RWS-700","C__HSMAE044",2025-09-01 00:00:00.0000000,
"AR5-UDG-800","C__LMRCY049",2025-09-01 00:00:00.0000000,
"AR5-WIS-700","C__BCGLS072",2026-05-14 00:00:00.0000000,
"AR6-BEN-610","T_BENBW-1",2026-04-01 00:00:00.0000000,
"AR6-BWA-610","T_BENBW-1",2026-04-01 00:00:00.0000000,
"AR6-CBT-700","C__LNXTS065",2026-04-27 00:00:00.0000000,
"AR6-CHE-700","C__BFSEN074",2026-04-27 00:00:00.0000000,
"AR6-CHS-700","C__AGMTR066",2026-03-23 00:00:00.0000000,
"AR6-CRI-610","T_CRYRW-4",2026-06-05 00:00:00.0000000,
"AR6-EDW-600","C__NLOND077",2026-05-14 00:00:00.0000000,
"AR6-HLS-700","C__LRWED056",2026-03-31 00:00:00.0000000,
"AR6-KFS-700","C__HRWED054",2026-02-23 00:00:00.0000000,
"AR6-KHW-600","E_KHLLW-1",2024-09-24 00:00:00.0000000,
"AR6-MSO-700","C__ASMAE058",2026-03-01 00:00:00.0000000,
"AR6-OSS-700","C__BENDC082",2026-09-21 00:00:00.0000000,
"AR6-SKS-700","C__FENDC081",2026-09-21 00:00:00.0000000,
"AR6-TAT-600","C__PSMAE055",2026-03-01 00:00:00.0000000,
"AR6-WSO-700","C__FSMAE057",2026-02-23 00:00:00.0000000,
"AR6-WTS-700","C__ASTAT060",2026-03-23 00:00:00.0000000,
"CAA-EAS-166","T_EAAO-1",2019-07-08 00:00:00.0000000,
"CAA-EAS-166","T_EAAO-2",2019-07-08 00:00:00.0000000,
"CAA-EAS-167","T_EAAO-1",2019-07-08 00:00:00.0000000,
"CAA-EAS-167","T_EAAO-2",2019-07-08 00:00:00.0000000,
"CAA-EAS-168","T_EAAO-1",2019-07-08 00:00:00.0000000,
"CAA-EAS-168","T_EAAO-2",2019-07-08 00:00:00.0000000,
"INV-BEA-001","T_BEATD-1",2018-08-01 00:00:00.0000000,
"INV-BEA-001","T_BEATO-1",2018-08-01 00:00:00.0000000,
"INV-BEA-001","T_BEATO-2",2018-08-01 00:00:00.0000000,
"INV-BEA-002","T_BEATO-3",2018-12-01 00:00:00.0000000,
"INV-BEA-002","T_BEATO-4",2018-12-01 00:00:00.0000000,
"INV-BUR-001","T_BRBEO-1",2017-01-09 00:00:00.0000000,
"INV-DRX-001","E__MDRX001",2016-09-09 00:00:00.0000000,
"INV-DRX-001","E__MDRX002",2016-09-09 00:00:00.0000000,
"INV-DRX-001","T_DRAXX-1",2016-09-09 00:00:00.0000000,
"INV-DUD-001","T_DDGND-1",2017-04-01 00:00:00.0000000,
"INV-DUD-001","T_DDGNO-2",2017-04-01 00:00:00.0000000,
"INV-DUD-002","T_DDGNO-1",2017-08-01 00:00:00.0000000,
"INV-DUD-002","T_DDGNO-3",2017-08-01 00:00:00.0000000,
"INV-DUD-003","T_DDGNO-4",2017-10-01 00:00:00.0000000,
"INV-HOR-001","T_HOWAO-2",2018-12-21 00:00:00.0000000,
"INV-HOR-002","T_HOWAO-3",2018-12-21 00:00:00.0000000,
"INV-HOR-003","T_HOWAO-1",2018-12-21 00:00:00.0000000,
"INV-LYN-001","E_LYNE1",2017-07-14 00:00:00.0000000,
"INV-LYN-001","E_LYNE2",2017-07-14 00:00:00.0000000,
"INV-LYN-001","E_LYNE3",2017-07-14 00:00:00.0000000,
"INV-TEE-001","C__FNATP012",2020-06-01 00:00:00.0000000,
"INV-TEE-001","T_TSREP-1",2020-06-01 00:00:00.0000000,
"INV-WAL-001","T_WLNYO-3",2017-08-15 00:00:00.0000000,
"INV-WAL-002","T_WLNYO-4",2017-12-19 00:00:00.0000000,
